C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
BAL1,BAL1X,BAL1Y,BAL1Z
BAL2,BAL2X,BAL2Y,BAL2Z
BAL3,BAL3X,BAL3Y,BAL3Z
BallOrigin,BallOriginX,BallOriginY,BallOriginZ
Bow1,Bow1X,Bow1Y,Bow1Z
Bow3,Bow3X,Bow3Y,Bow3Z
BowGlobalAngle,GlobalBowFlexExt,GlobalBowAddAbd,GlobalBowIntExtRot
BowOrigin,BowOriginX,BowOriginY,BowOriginZ
BowToHandAngle,BowFlexExt,BowAddAbd,BowIntExtRot
C7LAcc,C7LAccY,C7LAccX,C7LAccZ
CelloGlobalAngle,GlobalCelloFlexExt,GlobalCelloAddAbd,GlobalCelloIntExtRot
COMMP,COMMPX,COMMPY,COMMPZ
COMMPinFemur,COMMPinFemurX,COMMPinFemurY,COMMPinFemurZ
COMMPRelFoot,COMMPRelFootX,COMMPRelFootY,COMMPRelFootZ
COMMPRelKnee,COMMPRelKneeX,COMMPRelKneeY,COMMPRelKneeZ
FBallAngAcc,FBallFlexExtAngAcc,FBallAddAbdAngAcc,FBallIntExtRotAngAcc
FBallAngAccDeg,FBallFlexExtAngAccDeg,FBallAddAbdAngAccDeg,FBallIntExtRotAngAccDeg
FBallAngVel,FBallFlexExtAngVel,FBallAddAbdAngVel,FBallIntExtRotAngVel
FBallAngVelDeg,FBallFlexExtAngVelDeg,FBallAddAbdAngVelDeg,FBallIntExtRotAngVelDeg
FBCOM,FBCOMX,FBCOMY,FBCOMZ
FBCOMinFemur,FBCOMinFemurX,FBCOMinFemurY,FBCOMinFemurZ
FBCOMLessFoot,FBCOMLessFootX,FBCOMLessFootY,FBCOMLessFootZ
FBCOMLessShankandFoot,FBCOMLessShankandFootX,FBCOMLessShankandFootY,FBCOMLessShankandFootZ
FBCOMRelFoot,FBCOMRelFootX,FBCOMRelFootY,FBCOMRelFootZ
FBCOMRelKnee,FBCOMRelKneeX,FBCOMRelKneeY,FBCOMRelKneeZ
ForceVector1,GRF1x,GRF1y,GRF1z
ForceVector2,GRF2x,GRF2y,GRF2z
ForceVector3,GRF3x,GRF3y,GRF3z
HandOrigin,HandOriginX,HandOriginY,HandOriginZ
HeadAngle,HeadFlexExt,HeadLatFlex,HeadRotation
HeadAngleRot,HeadAngleFlexExtMinusStaticOffset,HeadAngleLatFlexMinusStaticOffset,HeadAngleRotMinusStaticOffset
HeadOrigin,HeadOriginX,HeadOriginY,HeadOriginZ
heLElbowAngle,heLElbowFlexExt,heLElbowAddAbd,heLElbowIntExtRot
heRElbowAngle,heRElbowFlexExt,heRElbowAddAbd,heRElbowIntExtRot
hLEJC,hLEJCX,hLEJCY,hLEJCZ
hREJC,hREJCX,hREJCY,hREJCZ
LAJC,LAJCx,LAJCy,LAJCz
LAnkleAngAcc,LAnkleFlexExtAngAcc,LAnkleInvEvAngAcc,LAnkleAddAbdAngAcc
LAnkleAngAccDeg,LAnkleFlexExtAngAccDeg,LAnkleInvEvAngAccDeg,LAnkleAddAbdAngAccDeg
LAnkleAngle,LAnklePDFlex,LAnkleInvEv,LAnkleAddAbd
LAnkleAngVel,LAnkleFlexExtAngVel,LAnkleInvEvAngVel,LAnkleAddAbdAngVel
LAnkleAngVelDeg,LAnkleFlexExtAngVelDeg,LAnkleInvEvAngVelDeg,LAnkleAddAbdAngVelDeg
LAnkleForce,LAnkleForceX,LAnkleForceY,LAnkleForceZ
LAnkleMoments,LAnklePDFlexMom,LAnkleAddAbdMom,LAnkleAddAbdMom
LAnklePosition,LAnklePositionX,LAnklePositionY,LAnklePositionZ
LAnklePowerTerms,LAnkleFlexExtPower,LAnkleInvEvPower,LAnkleAddAbdPower
LAnklePowerTermsNorm,LAnkleFlexExtPowerNorm,LAnkleInvEvPowerNorm,LAnkleAddAbdPowerNorm
LCAL,LCALX,LCALY,LCALZ
LEJC,LEJCX,LEJCY,LEJCZ
LElbowAngAcc,LElbowFlexExt,LElbowAddAbd,LElbowIntExtRot
LElbowAngAcc,LElbowFlexExtAngAcc,LElbowAddAbdAngAcc,LElbowIntExtRotAngAcc
LElbowAngAccDeg,LElbowFlexExtAngAccDeg,LElbowAddAbdAngAccDeg,LElbowIntExtRotAngAccDeg
LElbowAngVel,LElbowFlexExtAngVel,LElbowAddAbdAngVel,LElbowIntExtRotAngVel
LElbowAngVelDeg,LElbowFlexExtAngVelDeg,LElbowAddAbdAngVelDeg,LElbowIntExtRotAngVelDeg
LElbowForce,LElbowForceX,LElbowForceY,LElbowForceZ
LElbowMoments,LElbowFlexExtMom,LElbowAddAbdMom,LElbowIntExtRotMom
LElbowPosition,LElbowPositionX,LElbowPositionY,LElbowPositionZ
LElbowPowerTerms,LElbowFlexExtPower,LElbowAddAbdPower,LElbowIntExtRotPower
LElbowPowerTermsNorm,LElbowFlexExtPowerNorm,LElbowAddAbdPowerNorm,LElbowIntExtRotPowerNorm
LFBimpact,LFBimpactX,LFBimpactY,LFBimpactZ
LFootProgression,LFootFlexExtPelvis,LFootInvEvPelvis,LFootAddAbdPelvis
LHipAngAcc,LHipFlexExtAngAcc,LHipAddAbdAngAcc,LHipIntExtRotAngAcc
LHipAngAccDeg,LHipFlexExtAngAccDeg,LHipAddAbdAngAccDeg,LHipIntExtRotAngAccDeg
LHipAngle,LHipFlexExt,LHipAddAbd,LHipIntExtRot
LHipAngVel,LHipFlexExtAngVel,LHipAddAbdAngVel,LHipIntExtRotAngVel
LHipAngVelDeg,LHipFlexExtAngVelDeg,LHipAddAbdAngVelDeg,LHipIntExtRotAngVelDeg
LHipForce,LHipForceX,LHipForceY,LHipForceZ
LHipMoments,LHipFlexExtMom,LHipAddAbdMom,LHipIntExtRotMom
LHipPosition,LHipPositionX,LHipPositionY,LHipPositionZ
LHipPowerTerms,LHipFlexExtPower,LHipAddAbdPower,LHipIntExtRotPower
LHipPowerTermsNorm,LHipFlexExtPowerNorm,LHipAddAbdPowerNorm,LHipIntExtRotPowerNorm
LHJC,LHJCx,LHJCy,LHJCz
LKneeAngAcc,LKneeFlexExtAngAcc,LKneeAddAbdAngAcc,LKneeIntExtRotAngAcc
LKneeAngAccDeg,LKneeFlexExtAngAccDeg,LKneeAddAbdAngAccDeg,LKneeIntExtRotAngAccDeg
LKneeAngle,LKneeFlexExt,LKneeAddAbd,LKneeIntExtRot
LKneeAngVel,LKneeFlexExtAngVel,LKneeAddAbdAngVel,LKneeIntExtRotAngVel
LKneeAngVelDeg,LKneeFlexExtAngVelDeg,LKneeAddAbdAngVelDeg,LKneeIntExtRotAngVelDeg
LKneeForce,LKneeForceX,LKneeForceY,LKneeForceZ
LKneeMoments,LKneeFlexExtMom,LKneeAddAbdMom,LKneeIntExtRotMom
LKneePosition,LKneePositionX,LKneePositionY,LKneePositionZ
LKneePowerTerms,LKneeFlexExtPower,LKneeAddAbdPower,LKneeIntExtRotPower
LKneePowerTermsNorm,LKneeFlexExtPowerNorm,LKneeAddAbdPowerNorm,LKneeIntExtRotPowerNorm
LLMAL,RMMALX,RMMALY,RMMALZ
LMMAL,LMMALX,LMMALY,LMMALZ
LMT1,LMT1X,LMT1Y,LMT1Z
LMT5,LMT5X,LMT5Y,LMT5Z
LowerTorsoAngle,LowerTorsoFlexExt,LowerTorsoLatFlex,LowerTorsoRot
LPowerAnkle,XXLAnklePower,XXLAnklePower,LAnkleScalarPower
LPowerAnkleNorm,XXLAnklePowerNorm,XXLAnklePowerNorm,LAnkleScalarPowerNorm
LPowerElbow,XXLElbowPower,XXLElbowPower,LElbowScalarPower
LPowerElbowNorm,XXLPowerElbowNorm,XXLPowerElbowNorm,LElbowScalarPowerNorm
LPowerHip,XXLHipPower,XXLHipPower,LHipScalarPower
LPowerHipNorm,XXLHipPowerNorm,XXLHipPowerNorm,LHipScalarPowerNorm
LPowerKnee,XXLKneePower,XXLKneePower,LKneeScalarPower
LPowerKneeNorm,XXLKneePowerNorm,XXLKneePowerNorm,LKneeScalarPowerNorm
LPowerShoulder,XXLPowerShoulder,XXLPowerShoulder,LShoulderScalarPower
LPowerShoulderNorm,XXLPowerShoulderNorm,XXLPowerShoulderNorm,LShoulderScalarPowerNorm
LPowerWrist,XXLWristPower,XXLWristPower,LWristScalarPower
LPowerWristNorm,XXLPowerWristNorm,XXLWristPowerNorm,LWristScalarPowerNorm
LShldrAngAcc,LShldrFlexExtAngAcc,LShldrAddAbdAngAcc,LShldrIntExtRotAngAcc
LShldrAngAccDeg,LShldrFlexExtAngAccDeg,LShldrAddAbdAngAccDeg,LShldrIntExtRotAngAccDeg
LShldrAngVel,LShldrFlexExtAngVel,LShldrAddAbdAngVel,LShldrIntExtRotAngVel
LShldrAngVelDeg,LShldrFlexExtAngVelDeg,LShldrAddAbdAngVelDeg,LShldrIntExtRotAngVelDeg
LShldrMoments,LShldrFlexExtMom,LShldrAddAbdMom,LShldrIntExtRotMom
LShldrPowerTerms,LShldrFlexExtPower,LShldrAddAbdPower,LShldrIntExtRotPower
LShldrPowerTermsNorm,LShldrFlexExtPowerNorm,LShldrAddAbdPowerNorm,LShldrIntExtRotPowerNorm
LShldrThorAngAcc,LShldrThorFlexExtAngAcc,LShldrThorAddAbdAngAcc,LShldrThorIntExtRotAngAcc
LShldrThorAngAccDeg,LShldrThorFlexExtAngAccDeg,LShldrThorAddAbdAngAccDeg,LShldrThorIntExtRotAngAccDeg
LShldrThorAngVel,LShldrThorFlexExtAngVel,LShldrThorAddAbdAngVel,LShldrThorIntExtRotAngVel
LShldrThorAngVelDeg,LShldrThorFlexExtAngVelDeg,LShldrThorAddAbdAngVelDeg,LShldrThorIntExtRotAngVelDeg
LShoulderAnatomyYXY,LShldrAnatPlaneOfElev,LShldrAnatElev,LShldrAnatIntExtRot
LShoulderAngle,LShldrFlexExt,LShldrAddAbd,LShldrIntExtRot
LShoulderMoments,LShldrFlexExtMom,LShldrAddAbdMom,LShldrIntExtRotMom
LShoulderPosition,LShoulderPositionX,LShoulderPositionY,LShoulderPositionZ
LShoulderSWYXY,LShldrShldrWingPlaneOfElev,LShldrShldrWingElev,LShldrShldrWingIntExtRot
LShoulderThoraxYXY,LShldrThorPlaneOfElev,LShldrThorElev,LShldrThorIntExtRot
LShWingAngle,LShldrWingFlexExt,LShldrWingElevDep,LShldrWingProtRetr
LSJC,LSJCX,LSJCY,LSJCZ
