C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
LAnkleAngle,LAnkPDFlex,LAnkInvEv,LAnkAddAbd
LAnkleMoments,LAnkPDFlexMom,LAnkInvEvMom,LAnkAddAbdMom
LAnklePowerTerms,LAnkleFlexExtPower,LAnkleInvEvPower,LAnkleAddAbdPower
LHipAngle,LHipFlexExt,LHipAddAbd,LHipIntExtRot
LHipMoments,LHipFlexExtMom,LHipAddAbdMom,LHipIntExtRotMom
LHipPowerTerms,LHipFlexExtPower,LHipAddAbdPower,LHipIntExtRotPower
LKneeAngle,LKneeFlexExt,LKneeAddAbd,LKneeIntExtRot
LKneeMoments,LKneeFlexExtMom,LKneeAddAbdMom,LKneeIntExtRotMom
LKneePowerTerms,LKneeFlexExtPower,LKneeAddAbdPower,LKneeIntExtRotPower
RAnkleAngle,RAnkPDFlex,RAnkInvEv,RAnkAddAbd
RAnkleMoments,RAnkPDFlexMom,RAnkInvEvMom,RAnkAddAbdMom
RAnklePowerTerms,RAnkleFlexExtPower,RAnkleInvEvPower,RAnkleAddAbdPower
RHipAngle,RHipFlexExt,RHipAddAbd,RHipIntExtRot
RHipMoments,RHipFlexExtMom,RHipAddAbdMom,RHipIntExtRotMom
RHipPowerTerms,RHipFlexExtPower,RHipAddAbdPower,RHipIntExtRotPower
RKneeAngle,RKneeFlexExt,RKneeAddAbd,RKneeIntExtRot
RKneeMoments,RKneeFlexExtMom,RKneeAddAbdMom,RKneeIntExtRotMom
RKneePowerTerms,RKneeFlexExtPower,RKneeAddAbdPower,RKneeIntExtRotPower
